,movie_title_x,tomatometer_rating,audience_rating
0,10-Things-I-Hate-About-You,69.0,69.0
1,12,77.0,84.0
2,12-and-Holding,73.0,79.0
3,12-Monkeys,89.0,88.0
4,12-Years-a-Slave,95.0,90.0
5,127-Hours,93.0,85.0
6,1492:-Conquest-of-Paradise,32.0,50.0
7,15-Minutes,32.0,37.0
8,17-Again,56.0,67.0
9,187,30.0,67.0
10,2001:-A-Space-Odyssey,92.0,89.0
11,2012,39.0,47.0
12,20th-Century-Women,88.0,74.0
13,25th-Hour,78.0,85.0
14,28-Days-Later,87.0,85.0
15,30-Minutes-or-Less,45.0,40.0
16,42,80.0,85.0
17,44-Inch-Chest,41.0,36.0
18,48-Hrs.,93.0,69.0
19,50-50,93.0,88.0
20,500-Days-of-Summer,85.0,84.0
21,8-Mile,75.0,54.0
22,8MM,21.0,52.0
23,9,57.0,56.0
24,A-Few-Good-Men,83.0,89.0
25,A-Most-Violent-Year,89.0,69.0
26,A-Prayer-Before-Dawn,92.0,75.0
27,A-Quiet-Place,96.0,83.0
28,A-Scanner-Darkly,68.0,74.0
29,A-Serious-Man,90.0,68.0
30,A.I.,74.0,64.0
31,Above-the-Law,53.0,48.0
32,Absolute-Power,57.0,52.0
33,Abyss,,
34,Ace-Ventura:-Pet-Detective,49.0,57.0
35,Adaptation,91.0,85.0
36,Addams-Family,64.0,66.0
37,Addams-Family,44.0,69.0
38,Adjustment-Bureau,71.0,67.0
39,Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,68.0,69.0
40,Affliction,88.0,71.0
41,After-School-Special,,
42,After.Life,25.0,33.0
43,Agnes-of-God,43.0,55.0
44,Air-Force-One,78.0,66.0
45,Airplane,97.0,89.0
46,Airplane-2:-The-Sequel,42.0,50.0
47,Aladdin,57.0,94.0
48,Aladdin,95.0,92.0
49,Ali,68.0,65.0
50,Alien,98.0,94.0
51,Alien-3,,
52,Alien-Nation,53.0,44.0
53,Alien-vs.-Predator,21.0,39.0
54,Alien:-Resurrection,54.0,39.0
55,Aliens,97.0,94.0
56,All-About-Eve,99.0,94.0
57,All-About-Steve,6.0,30.0
58,All-the-King's-Men,95.0,78.0
59,All-the-King's-Men,11.0,40.0
60,All-the-President's-Men,94.0,92.0
61,Almost-Famous,89.0,92.0
62,Alone-in-the-Dark,1.0,11.0
63,Amadeus,93.0,95.0
64,Amelia,20.0,31.0
65,American-Beauty,87.0,93.0
66,American-Gangster,80.0,87.0
67,American-Graffiti,96.0,84.0
68,American-History-X,83.0,96.0
69,American-Hustle,92.0,74.0
70,American-Madness,,
71,American-Milkshake,,
72,American-Outlaws,14.0,68.0
73,American-Pie,61.0,61.0
74,American-President,91.0,77.0
75,American-Psycho,69.0,85.0
76,American-Shaolin:-King-of-Kickboxers-II,,
77,American-Sniper,72.0,84.0
78,American-Splendor,94.0,86.0
79,American-Werewolf-in-London,,
80,American,65.0,39.0
81,Amityville-Asylum,,
82,Amour,93.0,82.0
83,An-Education,94.0,80.0
84,Analyze-That,27.0,39.0
85,Analyze-This,69.0,62.0
86,Anastasia,91.0,78.0
87,Anastasia,86.0,77.0
88,Angel-Eyes,33.0,46.0
89,Angels-&-Demons,37.0,57.0
90,Anna-Karenina,93.0,69.0
91,Anna-Karenina,26.0,66.0
92,Anna-Karenina,63.0,50.0
93,Annie-Hall,98.0,92.0
94,Anniversary-Party,61.0,58.0
95,Anonymous,45.0,53.0
96,Antitrust,24.0,50.0
97,Antz,92.0,52.0
98,Apartment,93.0,94.0
99,Apocalypse-Now,98.0,94.0
100,Apollo-13,96.0,87.0
101,April-Fool's-Day,50.0,47.0
102,Apt-Pupil,53.0,56.0
103,Arbitrage,88.0,62.0
104,Arcade,,
105,Arctic-Blue,,
106,Argo,96.0,90.0
107,Armageddon,38.0,73.0
108,Army-of-Darkness,73.0,87.0
109,Arsenic-and-Old-Lace,81.0,92.0
110,Arthur,88.0,77.0
111,Arthur,27.0,44.0
112,Artist,95.0,87.0
113,As-Good-As-It-Gets,85.0,86.0
114,Assassins,16.0,45.0
115,Assignment,60.0,62.0
116,Assignment,33.0,21.0
117,At-First-Sight,32.0,46.0
118,August:-Osage-County,67.0,65.0
119,Austin-Powers---International-Man-of-Mystery,,
120,Austin-Powers---The-Spy-Who-Shagged-Me,,
121,Authors-Anonymous,7.0,15.0
122,Autumn-in-New-York,19.0,54.0
123,Avatar,82.0,82.0
124,Avengers,5.0,15.0
125,Avengers,5.0,15.0
126,Avengers:-Endgame,94.0,90.0
127,Avventura,,
128,Awakenings,88.0,89.0
129,Babel,69.0,77.0
130,Bachelor-Party,,
131,Bachelor-Party,,
132,Back-to-the-Future,96.0,94.0
133,Back-to-the-Future-II-&-III,,
134,Back-up-Plan,18.0,46.0
135,Backdraft,,
136,Bad-Boys,42.0,78.0
137,Bad-Boys,89.0,81.0
138,Bad-Country,,
139,Bad-Day-at-Black-Rock,97.0,88.0
140,Bad-Dreams,,
141,Bad-Lieutenant,77.0,73.0
142,Bad-Santa,79.0,75.0
143,Bad-Teacher,44.0,36.0
144,Badlands,98.0,90.0
145,Bamboozled,,
146,Barry-Lyndon,91.0,92.0
147,Barton-Fink,90.0,89.0
148,Basic,21.0,63.0
149,Basic-Instinct,53.0,63.0
150,Basquiat,68.0,77.0
151,Batman,,
152,Batman-2,,
153,Batman-and-Robin,,
154,Batman-Begins,84.0,94.0
155,Batman-Forever,39.0,32.0
156,Batman-Returns,80.0,73.0
157,Battle-of-Algiers,,
158,Battle-of-Shaker-Heights,39.0,48.0
159,Battle:-Los-Angeles,36.0,48.0
160,Beach,20.0,57.0
161,Bean,44.0,53.0
162,Beasts-of-No-Nation,,
163,Beasts-of-the-Southern-Wild,87.0,76.0
164,Beauty-and-the-Beast,94.0,92.0
165,Beauty-and-the-Beast,71.0,80.0
166,Beavis-and-Butt-head-Do-America,72.0,69.0
167,Beginners,85.0,77.0
168,Being-Human,54.0,42.0
169,Being-John-Malkovich,93.0,87.0
170,Being-There,95.0,92.0
171,Believer,83.0,82.0
172,Belle,84.0,82.0
173,Beloved,78.0,71.0
174,Beloved,56.0,45.0
175,Benny-&-Joon,76.0,85.0
176,Best-Exotic-Marigold-Hotel,78.0,78.0
177,Big,97.0,82.0
178,Big-Blue,,
179,Big-Eyes,72.0,68.0
180,Big-Fish,75.0,89.0
181,Big-Lebowski,83.0,93.0
182,Big-Sick,98.0,88.0
183,Big-White,30.0,56.0
184,Birdman,91.0,77.0
185,Birds,95.0,83.0
186,Birthday-Girl,58.0,39.0
187,Black-Dahlia,32.0,27.0
188,Black-Panther,96.0,79.0
189,Black-Rain,50.0,55.0
190,Black-Snake-Moan,66.0,69.0
191,Black-Swan,83.0,72.0
192,Black-Swan,85.0,84.0
193,BlacKkKlansman,96.0,83.0
194,Blade,56.0,78.0
195,Blade-II,57.0,68.0
196,Blade-Runner,90.0,91.0
197,Blade:-Trinity,26.0,59.0
198,Blast-from-the-Past,58.0,56.0
199,Blind-Side,66.0,85.0
200,Bling-Ring,59.0,33.0
201,Blood-and-Wine,61.0,35.0
202,Blood-Simple,94.0,88.0
203,Blow,55.0,87.0
204,Blue-Valentine,87.0,77.0
205,Blue-Velvet,94.0,88.0
206,Blues-Brothers,84.0,92.0
207,Bodies,,
208,Body-Heat,,
209,Body-of-Evidence,8.0,22.0
210,Bodyguard,33.0,64.0
211,Bones,23.0,40.0
212,Bonfire-of-the-Vanities,16.0,26.0
213,Bonnie-and-Clyde,88.0,88.0
214,Boogie-Nights,93.0,89.0
215,Book-of-Eli,47.0,64.0
216,Boondock-Saints-2:-All-Saints-Day,,
217,Boondock-Saints,28.0,91.0
218,Bottle-Rocket,85.0,80.0
219,Bound,89.0,82.0
220,Bounty-Hunter,12.0,51.0
221,Bourne-Identity,83.0,93.0
222,Bourne-Supremacy,82.0,90.0
223,Bourne-Ultimatum,92.0,91.0
224,Box,44.0,24.0
225,Boxtrolls,77.0,63.0
226,Boyhood,97.0,81.0
227,Braveheart,78.0,85.0
228,Brazil,,
229,Break,,
230,Breakdown,81.0,67.0
231,Breakfast-Club,89.0,92.0
232,Breaking-Away,95.0,88.0
233,Brick,80.0,86.0
234,Bridesmaids,90.0,76.0
235,Bringing-Out-the-Dead,72.0,70.0
236,Broadcast-News,98.0,79.0
237,Broken-Arrow,89.0,70.0
238,Broken-Arrow,52.0,44.0
239,Broken-Embraces,81.0,75.0
240,Brothers-Bloom,68.0,64.0
241,Bruce-Almighty,48.0,57.0
242,Buffy-the-Vampire-Slayer,35.0,43.0
243,Bull-Durham,97.0,82.0
244,Buried,87.0,65.0
245,Burlesque,37.0,64.0
246,Burn-After-Reading,78.0,65.0
247,Burning-Annie,50.0,38.0
248,Butterfly-Effect,33.0,81.0
249,Cable-Guy,54.0,51.0
250,Candle-to-Water,,
251,Capote,90.0,82.0
252,Carrie,93.0,77.0
253,Carrie,20.0,50.0
254,Carrie,50.0,44.0
255,Carrie,83.0,59.0
256,Cars-2,39.0,49.0
257,Casablanca,99.0,95.0
258,Case-39,21.0,39.0
259,Casino,80.0,93.0
260,Cast-Away,88.0,84.0
261,Catch-Me-If-You-Can,96.0,89.0
262,Catwoman,9.0,18.0
263,Cecil-B.-Demented,53.0,67.0
264,Cedar-Rapids,86.0,59.0
265,Celeste-&-Jesse-Forever,,
266,Cell,11.0,17.0
267,Cell,45.0,57.0
268,Cellular,55.0,59.0
269,Change-Up,25.0,47.0
270,Changeling,62.0,82.0
271,Changeling,83.0,79.0
272,Chaos,,
273,Charade,94.0,92.0
274,Charlie's-Angels,68.0,45.0
275,Charlie's-Angels,52.0,78.0
276,Chasing-Amy,87.0,83.0
277,Chasing-Sleep,,
278,Cherry-Falls,,
279,Chinatown,99.0,93.0
280,Christ-Complex,,
281,Chronicle,85.0,71.0
282,Chronicles-of-Narnia:-The-Lion,,
283,Cider-House-Rules,71.0,77.0
284,Cincinnati-Kid,82.0,78.0
285,Cinema-Paradiso,,
286,Cirque-du-Freak:-The-Vampire's-Assistant,38.0,42.0
287,Citizen-Kane,100.0,90.0
288,City-of-Joy,53.0,75.0
289,City-of-Joy,100.0,60.0
290,Clash-of-the-Titans,68.0,70.0
291,Clash-of-the-Titans,27.0,40.0
292,Clerks,89.0,89.0
293,Cliffhanger,69.0,52.0
294,Clockwork-Orange,,
295,Clueless,82.0,76.0
296,Cobb,65.0,59.0
297,Coco,97.0,94.0
298,Code-of-Silence,63.0,51.0
299,Cold-Mountain,71.0,77.0
300,Collateral,86.0,84.0
301,Collateral-Damage,19.0,27.0
302,Colombiana,28.0,67.0
303,Color-of-Night,22.0,30.0
304,Commando,71.0,67.0
305,Conan-the-Barbarian,64.0,74.0
306,Conan-the-Barbarian,25.0,30.0
307,Confessions-of-a-Dangerous-Mind,79.0,75.0
308,Confidence,69.0,70.0
309,Constantine,46.0,72.0
310,Contact,66.0,78.0
311,Cooler,77.0,69.0
312,Copycat,78.0,64.0
313,Coraline,90.0,73.0
314,Coriolanus,92.0,58.0
315,Courage-Under-Fire,85.0,66.0
316,Cowboys-&-Aliens,44.0,43.0
317,Cradle-2-the-Grave,25.0,52.0
318,Crank,61.0,71.0
319,Crash,74.0,88.0
320,Crazy,,
