Unnamed: 0,IMSDB_Title,RT_Title,CriticScore,AudienceScore,CriticScoreCategory
0,abyss,ABYSS,89.0,83.0,certified fresh
2,alien-3,ALIEN-3,48.0,47.0,rotten
4,american-milkshake,MILKSHAKE,0.0,42.0,rotten
6,american-werewolf-in-london,AN-AMERICAN-WEREWOLF-IN-LONDON,89.0,85.0,certified fresh
10,austin-powers---international-man-of-mystery,AUSTIN-POWERS:-INTERNATIONAL-MAN-OF-MYSTERY,73.0,77.0,fresh
11,austin-powers---the-spy-who-shagged-me,AUSTIN-POWERS:-THE-SPY-WHO-SHAGGED-ME,53.0,71.0,rotten
12,avventura,L'AVVENTURA,94.0,88.0,certified fresh
13,bachelor-party,BACHELOR-PARTY,54.0,56.0,rotten
15,back-to-the-future-ii-&-iii,BACK-TO-THE-FUTURE-PART-III,80.0,78.0,certified fresh
16,backdraft,BACKDRAFT,73.0,75.0,fresh
18,bad-dreams,BAD-DREAMS,38.0,42.0,rotten
19,bamboozled,BAMBOOZLED,53.0,74.0,rotten
20,batman,BATMAN,76.0,84.0,certified fresh
22,batman-and-robin,BATMAN-&-ROBIN,12.0,16.0,rotten
24,beasts-of-no-nation,BEASTS-OF-NO-NATION,91.0,92.0,certified fresh
27,body-heat,BODY-HEAT,96.0,81.0,certified fresh
28,boondock-saints-2-all-saints-day,THE-BOONDOCK-SAINTS-II:-ALL-SAINTS-DAY,22.0,58.0,rotten
29,brazil,BRAZIL,98.0,90.0,certified fresh
32,celeste-&-jesse-forever,CELESTE-AND-JESSE-FOREVER,70.0,62.0,fresh
34,chasing-sleep,CHASING-SLEEP,50.0,49.0,rotten
35,cherry-falls,CHERRY-FALLS,63.0,40.0,fresh
37,Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe,THE-CHRONICLES-OF-NARNIA:-THE-LION-THE-WITCH-AND-THE-WARDROBE,75.0,61.0,certified fresh
38,cinema-paradiso,CINEMA-PARADISO,90.0,96.0,certified fresh
40,crazy,C.R.A.Z.Y.,100.0,93.0,certified fresh
42,crouching-tiger,CROUCHING-TIGER-HIDDEN-DRAGON,98.0,86.0,certified fresh
43,croupier,CROUPIER,95.0,79.0,certified fresh
44,crow-salvation,THE-CROW:-SALVATION,18.0,43.0,rotten
46,dark-star,DARK-STAR:-H.R.-GIGER'S-WORLD,64.0,62.0,fresh
50,dogma,DOGMA,68.0,85.0,fresh
51,dry-white-season,A-DRY-WHITE-SEASON,82.0,76.0,certified fresh
52,e.t.,E.T.-THE-EXTRA-TERRESTRIAL,99.0,72.0,certified fresh
53,ed-tv,EDTV,63.0,30.0,fresh
54,elvis,ELVIS,77.0,94.0,certified fresh
55,escape-from-l.a.,JOHN-CARPENTER'S-ESCAPE-FROM-L.A.,54.0,39.0,rotten
56,even-cowgirls-get-the-blues,EVEN-COWGIRLS-GET-THE-BLUES,17.0,28.0,rotten
57,evil-dead-ii-dead-by-dawn,EVIL-DEAD-2,88.0,89.0,certified fresh
58,executive-decision,EXECUTIVE-DECISION,63.0,53.0,fresh
59,fabulous-baker-boys,THE-FABULOUS-BAKER-BOYS,97.0,70.0,certified fresh
61,fairytale-a-true-story,FAIRY-TALE:-A-TRUE-STORY,56.0,66.0,rotten
62,fantastic-mr-fox,FANTASTIC-MR.-FOX,93.0,85.0,certified fresh
63,freaked,FREAKED,50.0,66.0,rotten
64,fright-night-(1985),FRIGHT-NIGHT-PART-2,36.0,43.0,rotten
65,frozen-(disney),FROZEN,90.0,85.0,certified fresh
66,glengarry-glen-gross,GLENGARRY-GLEN-ROSS,95.0,88.0,certified fresh
67,godfather-part-ii,THE-GODFATHER-PART-II,96.0,97.0,certified fresh
68,godfather-part-iii,THE-GODFATHER-PART-III,66.0,67.0,fresh
70,gremlins-2,GREMLINS-2:-THE-NEW-BATCH,71.0,59.0,fresh
71,grosse-point-blank,GROSSE-POINTE-BLANK,82.0,87.0,certified fresh
72,guardians-of-the-galaxy-vol-2,GUARDIANS-OF-THE-GALAXY-VOL.-2,85.0,87.0,certified fresh
73,halloween-the-curse-of-michael-myers,HALLOWEEN:-THE-CURSE-OF-MICHAEL-MYERS,8.0,36.0,rotten
75,harold-and-kumar-go-to-white-castle,HAROLD-&-KUMAR-GO-TO-WHITE-CASTLE,74.0,80.0,fresh
76,harry-potter-and-the-deathly-hallows-part-1,HARRY-POTTER-AND-THE-DEATHLY-HALLOWS:-PART-1,77.0,85.0,certified fresh
77,hellboy-2-the-golden-army,HELLBOY-II:-THE-GOLDEN-ARMY,86.0,71.0,certified fresh
78,hellraiser-3-hell-on-earth,HELLRAISER-III:-HELL-ON-EARTH,38.0,35.0,rotten
80,indiana-jones-and-the-raiders-of-the-lost-ark,RAIDERS-OF-THE-LOST-ARK:-THE-ADAPTATION,100.0,82.0,certified fresh
82,jennifer-eight,JENNIFER-EIGHT,39.0,39.0,rotten
83,jerry-maguire,JERRY-MAGUIRE,84.0,79.0,certified fresh
84,jeux-interdits,FORBIDDEN-GAMES,100.0,92.0,certified fresh
85,jojo-rabbit,JOJO-RABBIT,80.0,94.0,certified fresh
86,jurassic-park-the-lost-world,JURASSIC-PARK,92.0,91.0,certified fresh
87,kafka,KAFKA,52.0,72.0,rotten
90,killers-of-the-flower-moon,KILLERS-OF-THE-FLOWER-MOON,93.0,84.0,certified fresh
91,kramer-vs-kramer,KRAMER-VS.-KRAMER,89.0,89.0,certified fresh
92,kundun,KUNDUN,74.0,78.0,fresh
93,labor-of-love,LABOR-OF-LOVE,57.0,90.0,rotten
94,last-flight,LAST-FLIGHT-HOME,95.0,,certified fresh
98,little-athens,LITTLE-ATHENS,40.0,31.0,rotten
99,lock,LOCK-STOCK-AND-TWO-SMOKING-BARRELS,75.0,93.0,certified fresh
100,lord-of-the-rings-fellowship-of-the-ring,THE-LORD-OF-THE-RINGS:-THE-FELLOWSHIP-OF-THE-RING,91.0,95.0,certified fresh
101,lord-of-the-rings-return-of-the-king,THE-LORD-OF-THE-RINGS:-THE-RETURN-OF-THE-KING,94.0,86.0,certified fresh
102,man-trouble,MAN-TROUBLE,7.0,14.0,rotten
103,mariachi,EL-MARIACHI,91.0,76.0,certified fresh
104,master-and-commander,MASTER-AND-COMMANDER:-THE-FAR-SIDE-OF-THE-WORLD,85.0,80.0,certified fresh
105,men-in-black-3,MEN-IN-BLACK-3,67.0,70.0,fresh
106,mighty-morphin-power-rangers-the-movie,MIGHTY-MORPHIN-POWER-RANGERS:-THE-MOVIE,32.0,57.0,rotten
108,mini's-first-time,MINI'S-FIRST-TIME,54.0,47.0,rotten
111,mr-blandings-builds-his-dream-house,MR.-BLANDINGS-BUILDS-HIS-DREAM-HOUSE,86.0,76.0,certified fresh
112,mr-brooks,MR.-BROOKS,55.0,76.0,rotten
113,mr-deeds-goes-to-town,MR.-DEEDS-GOES-TO-TOWN,91.0,86.0,certified fresh
114,mute-witness,MUTE-WITNESS,83.0,66.0,certified fresh
115,my-mother-dreams-the-satan's-disciples-in-new-york,THE-RELIGION-HOUR-(MY-MOTHER'S-SMILE),83.0,80.0,certified fresh
118,nightmare-on-elm-street,A-NIGHTMARE-ON-ELM-STREET-5:-THE-DREAM-CHILD,30.0,31.0,rotten
119,nightmare-on-elm-street-the-final-chapter,FREDDY'S-DEAD:-THE-FINAL-NIGHTMARE,22.0,32.0,rotten
120,o-brother-where-art-thou?,O-BROTHER-WHERE-ART-THOU?,78.0,89.0,certified fresh
121,officer-and-a-gentleman,AN-OFFICER-AND-A-GENTLEMAN,79.0,81.0,certified fresh
122,passion-of-joan-of-arc,THE-PASSION-OF-JOAN-OF-ARC,98.0,93.0,certified fresh
125,pet-sematary-ii,PET-SEMATARY-TWO,21.0,31.0,rotten
127,pokemon-mewtwo-returns,POK�MON:-MEWTWO-RETURNS,0.0,60.0,rotten
128,precious,"PRECIOUS-BASED-ON-THE-NOVEL-""PUSH""-BY-SAPPHIRE",92.0,77.0,certified fresh
130,producer,THE-PRODUCERS,91.0,85.0,certified fresh
132,rambo-first-blood-ii-the-mission,RAMBO:-FIRST-BLOOD-PART-II,33.0,60.0,rotten
135,ringu,THE-RING,98.0,81.0,certified fresh
136,rko-281,RKO-281,92.0,75.0,certified fresh
139,rust-and-bone,RUST-AND-BONE,82.0,80.0,certified fresh
140,s.-darko,S.-DARKO-A-DONNIE-DARKO-TALE,13.0,18.0,rotten
141,sandlot-kids,THE-SANDLOT-2,40.0,41.0,rotten
142,scott-pilgrim-vs-the-world,SCOTT-PILGRIM-VS.-THE-WORLD,82.0,84.0,certified fresh
143,se7en,SEVEN,83.0,95.0,certified fresh
144,sense-and-sensibility,SENSE-AND-SENSIBILITY,97.0,90.0,certified fresh
145,seventh-seal,THE-SEVENTH-SEAL,93.0,93.0,certified fresh
146,sex,SEX-LIES-AND-VIDEOTAPE,96.0,79.0,certified fresh
149,silver-bullet,SILVER-BULLET,41.0,56.0,rotten
150,sleepless-in-seattle,SLEEPLESS-IN-SEATTLE,75.0,75.0,certified fresh
152,space-milkshake,,96.0,,certified fresh
154,star-trek-generations,STAR-TREK-GENERATIONS,48.0,57.0,rotten
155,star-wars-a-new-hope,STAR-WARS:-EPISODE-IV---A-NEW-HOPE,93.0,96.0,certified fresh
156,star-wars-attack-of-the-clones,STAR-WARS:-EPISODE-II---ATTACK-OF-THE-CLONES,65.0,56.0,fresh
157,star-wars-return-of-the-jedi,STAR-WARS:-EPISODE-VI---RETURN-OF-THE-JEDI,83.0,94.0,certified fresh
158,star-wars-revenge-of-the-sith,STAR-WARS:-EPISODE-III---REVENGE-OF-THE-SITH,79.0,66.0,certified fresh
159,star-wars-the-empire-strikes-back,STAR-WARS:-EPISODE-V---THE-EMPIRE-STRIKES-BACK,95.0,97.0,certified fresh
160,star-wars-the-force-awakens,STAR-WARS:-THE-FORCE-AWAKENS,93.0,85.0,certified fresh
161,star-wars-the-phantom-menace,STAR-WARS:-EPISODE-I---THE-PHANTOM-MENACE,52.0,59.0,rotten
163,strange-days,STRANGE-DAYS,68.0,73.0,fresh
164,strangers-on-a-train,STRANGERS-ON-A-TRAIN,98.0,92.0,certified fresh
165,stuntman,STUNTMAN,100.0,89.0,certified fresh
166,sugar-and-spice,SUGAR-&-SPICE,29.0,42.0,rotten
167,sunset-blvd.,SUNSET-BOULEVARD,98.0,95.0,certified fresh
170,synecdoche,SYNECDOCHE-NEW-YORK,69.0,71.0,fresh
171,taking-sides,TAKING-SIDES,73.0,73.0,fresh
173,tenet,TENET,69.0,76.0,fresh
174,terminator-2-judgement-day,TERMINATOR-2:-JUDGMENT-DAY,91.0,95.0,certified fresh
175,the-rage-carrie-2,THE-RAGE:-CARRIE-2,23.0,33.0,rotten
177,thor-ragnarok,THOR:-RAGNAROK,93.0,87.0,certified fresh
179,three-men-and-a-baby,THREE-MEN-AND-A-CRADLE,72.0,56.0,fresh
181,tombstone,TOMBSTONE,73.0,94.0,fresh
182,tristan-and-isolde,TRISTAN-&-ISOLDE,32.0,71.0,rotten
183,tron-legacy,TRON:-LEGACY,51.0,63.0,rotten
184,true-lies,TRUE-LIES,71.0,76.0,fresh
185,twilight-new-moon,THE-TWILIGHT-SAGA:-NEW-MOON,28.0,61.0,rotten
187,u-turn,U-TURN,29.0,,rotten
188,un-singe-en-hiver,A-HEART-IN-WINTER,85.0,90.0,certified fresh
189,walk-to-remember,A-WALK-TO-REMEMBER,29.0,78.0,rotten
192,white-ribbon,THE-WHITE-RIBBON,85.0,79.0,certified fresh
194,wild-at-heart,WILD-AT-HEART,65.0,81.0,fresh
0,10-Things-I-Hate-About-You,10-Things-I-Hate-About-You,69.0,69.0,fresh
1,12,12,77.0,84.0,certified fresh
2,12-and-Holding,12-and-Holding,73.0,79.0,fresh
3,12-Monkeys,12-Monkeys,89.0,88.0,certified fresh
4,12-Years-a-Slave,12-Years-a-Slave,95.0,90.0,certified fresh
5,127-Hours,127-Hours,93.0,85.0,certified fresh
6,1492-Conquest-of-Paradise,1492:-Conquest-of-Paradise,32.0,50.0,rotten
7,15-Minutes,15-Minutes,32.0,37.0,rotten
8,17-Again,17-Again,56.0,67.0,rotten
9,187,187,30.0,67.0,rotten
10,2001-A-Space-Odyssey,2001:-A-Space-Odyssey,92.0,89.0,certified fresh
11,2012,2012,39.0,47.0,rotten
12,20th-Century-Women,20th-Century-Women,88.0,74.0,certified fresh
13,25th-Hour,25th-Hour,78.0,85.0,certified fresh
14,28-Days-Later,28-Days-Later,87.0,85.0,certified fresh
