IMSDB_Title,RT_Title,CriticScore,AudienceScore
abyss,ABYSS,89,83
after school special,NATIONAL LAMPOON'S BARELY LEGAL,,25
alien 3,ALIEN 3,48,47
american madness,AMERICAN MADNESS,,81
american milkshake,MILKSHAKE,0,42
american shaolin: king of kickboxers ii,AMERICAN SHAOLIN: KING OF THE KICKBOXERS II,,48
american werewolf in london,AN AMERICAN WEREWOLF IN LONDON,89,85
amityville asylum,THE AMITYVILLE ASYLUM,,3
arcade,ARCADE,,30
arctic blue,ARCTIC BLUE,,15
austin powers - international man of mystery,AUSTIN POWERS: INTERNATIONAL MAN OF MYSTERY,73,77
austin powers - the spy who shagged me,AUSTIN POWERS: THE SPY WHO SHAGGED ME,53,71
avventura,L'AVVENTURA,94,88
bachelor party,BACHELOR PARTY,54,56
bachelor party,BACHELOR PARTY,,
back to the future ii & iii,BACK TO THE FUTURE PART III,80,78
backdraft,BACKDRAFT,73,75
bad country,BAD COUNTRY,,41
bad dreams,BAD DREAMS,38,42
bamboozled,BAMBOOZLED,53,74
batman,BATMAN,76,84
batman 2,NOTFOUND,,
batman and robin,BATMAN & ROBIN,12,16
battle of algiers,THE BATTLE OF ALGIERS: A FILM WITHIN HISTORY,,
beasts of no nation,BEASTS OF NO NATION,91,92
big blue,BIG BLUE LAKE,,80
bodies,BODIES,,
body heat,BODY HEAT,96,81
boondock saints 2: all saints day,THE BOONDOCK SAINTS II: ALL SAINTS DAY,22,58
brazil,BRAZIL,98,90
break,BREAK,,
candle to water,CANDLE TO WATER,,
celeste & jesse forever,CELESTE AND JESSE FOREVER,70,62
chaos,CHAOS,,
chasing sleep,CHASING SLEEP,50,49
cherry falls,CHERRY FALLS,63,40
christ complex,CHRIST COMPLEX,,100
chronicles of narnia: the lion Witch and the Wardrobe,THE CHRONICLES OF NARNIA: THE LION THE WITCH AND THE WARDROBE,75,61
cinema paradiso,CINEMA PARADISO,90,96
